order_id,order_date,order_time,customer_segment,order_value,cuisine_type,delivery_time_mins,promo_code_used,is_reorder
117,2025-09-01,19:41:19,Off-Campus,9.02,Mexican,31,Yes,Yes
118,2025-09-02,12:45:30,Off-Campus,24.93,Pizza,37,No,No
119,2025-09-02,16:21:04,Off-Campus,14.93,Asian,38,Yes,No
120,2025-09-02,18:23:35,Grad Student,25.34,Mexican,37,No,No
121,2025-09-02,18:28:39,Off-Campus,16.19,Asian,41,No,Yes
122,2025-09-02,20:35:33,Grad Student,30.48,Burgers,34,No,No
123,2025-09-03,12:44:04,Dorm,13.47,Indian,29,No,No
124,2025-09-03,15:42:22,Off-Campus,16.41,Burgers,21,Yes,Yes
125,2025-09-03,18:03:17,Greek Life,34.28,Pizza,37,Yes,No
126,2025-09-03,18:41:55,Grad Student,24.47,Mexican,34,No,No
127,2025-09-03,19:19:28,Dorm,11.21,Mexican,26,No,Yes
128,2025-09-04,13:25:33,Grad Student,39.46,Salads,37,Yes,No
129,2025-09-04,16:21:50,Dorm,15.76,Breakfast,32,No,No
130,2025-09-05,12:45:05,Off-Campus,14.92,Burgers,36,No,Yes
131,2025-09-05,16:35:06,Greek Life,40.34,Burgers,37,Yes,Yes
132,2025-09-05,18:00:16,Dorm,11.36,Burgers,35,No,No
133,2025-09-06,16:08:55,Grad Student,27.00,Indian,40,No,Yes
134,2025-09-06,16:46:41,Dorm,19.25,Indian,28,No,No
135,2025-09-07,10:46:48,Dorm,21.22,Burgers,38,No,No
136,2025-09-07,13:02:28,Dorm,9.27,Pizza,24,No,Yes
137,2025-09-07,14:08:32,Dorm,18.28,Breakfast,30,No,No
138,2025-09-07,15:10:46,Grad Student,21.78,Burgers,31,No,No
139,2025-09-08,12:14:19,Grad Student,28.45,Mediterranean,19,No,No
140,2025-09-08,20:33:33,Dorm,11.70,Breakfast,26,No,No
141,2025-09-09,13:09:48,Dorm,15.10,Breakfast,27,No,No
142,2025-09-09,18:03:42,Grad Student,31.41,Asian,34,No,No
143,2025-09-10,17:31:47,Off-Campus,15.62,Mexican,32,Yes,No
144,2025-09-10,19:23:39,Off-Campus,20.29,Asian,47,No,No
145,2025-09-10,20:18:34,Dorm,17.14,Pizza,30,Yes,Yes
146,2025-09-11,16:38:05,Dorm,16.94,Mediterranean,27,Yes,Yes
147,2025-09-11,20:22:55,Grad Student,21.09,Indian,20,No,No
148,2025-09-11,22:07:43,Dorm,16.65,Pizza,39,No,No
149,2025-09-12,13:02:27,Off-Campus,29.19,Indian,32,No,No
150,2025-09-12,13:13:09,Off-Campus,16.03,Pizza,26,No,Yes
151,2025-09-12,18:39:56,Grad Student,32.16,Breakfast,33,No,No
152,2025-09-12,19:15:07,Dorm,17.85,Asian,31,No,Yes
153,2025-09-12,19:29:28,Grad Student,33.53,Asian,32,No,No
154,2025-09-12,20:17:40,Greek Life,74.94,Pizza,28,No,Yes
155,2025-09-13,10:02:38,Grad Student,31.36,Asian,36,No,Yes
156,2025-09-13,10:16:47,Dorm,22.89,Burgers,31,No,No
157,2025-09-13,13:40:01,Grad Student,34.22,Asian,35,No,Yes
158,2025-09-13,19:19:16,Off-Campus,11.42,Asian,41,No,No
159,2025-09-13,22:15:55,Dorm,21.74,Breakfast,23,No,Yes
160,2025-09-14,12:01:20,Off-Campus,23.72,Asian,45,No,Yes
161,2025-09-14,12:11:48,Off-Campus,14.39,Burgers,29,No,Yes
162,2025-09-14,20:25:26,Greek Life,44.67,Burgers,24,Yes,No
163,2025-09-14,20:26:17,Grad Student,28.80,Asian,38,Yes,No
164,2025-09-15,20:13:21,Dorm,11.95,Mexican,26,No,No
165,2025-09-15,21:26:03,Dorm,11.53,Burgers,34,Yes,Yes
166,2025-09-15,22:34:22,Greek Life,35.16,Mediterranean,17,No,Yes
167,2025-09-16,11:05:27,Off-Campus,24.73,Salads,37,No,No
168,2025-09-16,11:09:04,Greek Life,40.00,Mexican,42,No,No
169,2025-09-16,15:21:43,Grad Student,32.61,Asian,35,No,No
170,2025-09-16,17:57:05,Off-Campus,21.46,Pizza,31,No,No
171,2025-09-16,21:23:43,Off-Campus,31.64,Asian,23,Yes,Yes
172,2025-09-17,11:08:45,Grad Student,23.05,Mexican,37,No,No
173,2025-09-17,17:14:25,Grad Student,29.34,Burgers,30,No,No
174,2025-09-17,17:35:29,Grad Student,24.20,Pizza,25,Yes,Yes
175,2025-09-17,19:04:58,Off-Campus,16.36,Mexican,29,No,No
176,2025-09-17,19:31:01,Dorm,18.80,Asian,34,Yes,No
177,2025-09-18,13:10:37,Dorm,17.43,Mexican,29,No,No
178,2025-09-18,13:36:15,Grad Student,25.86,Pizza,24,No,No
179,2025-09-19,11:05:02,Greek Life,65.54,Burgers,26,Yes,No
180,2025-09-19,11:27:32,Grad Student,29.00,Burgers,29,Yes,Yes
181,2025-09-19,12:54:35,Off-Campus,27.12,Mexican,28,No,Yes
182,2025-09-19,13:46:54,Dorm,24.17,Pizza,24,No,Yes
183,2025-09-19,19:55:40,Grad Student,23.96,Mexican,37,No,No
184,2025-09-20,11:25:23,Off-Campus,19.27,Indian,24,No,Yes
185,2025-09-20,18:03:28,Dorm,22.67,Burgers,39,No,No
186,2025-09-20,18:46:03,Off-Campus,15.35,Mexican,28,No,No
187,2025-09-20,20:37:35,Dorm,22.07,Pizza,27,No,No
188,2025-09-20,20:39:47,Dorm,18.32,Asian,22,No,No
189,2025-09-20,21:45:08,Grad Student,18.08,Breakfast,29,No,Yes
190,2025-09-20,22:05:37,Greek Life,32.18,Burgers,17,No,No
191,2025-09-21,11:04:45,Off-Campus,18.91,Burgers,22,Yes,Yes
192,2025-09-21,13:12:57,Dorm,15.69,Breakfast,24,No,Yes
193,2025-09-21,17:51:23,Dorm,10.80,Burgers,33,No,Yes
194,2025-09-22,11:09:54,Off-Campus,11.20,Pizza,22,Yes,No
195,2025-09-22,12:04:33,Dorm,7.39,Asian,27,Yes,No
196,2025-09-22,13:44:07,Dorm,16.76,Burgers,37,No,Yes
197,2025-09-22,18:38:24,Grad Student,29.50,Mediterranean,34,No,No
198,2025-09-22,20:13:55,Grad Student,31.96,Indian,27,Yes,Yes
199,2025-09-22,21:41:42,Off-Campus,13.80,Asian,33,Yes,Yes
200,2025-09-23,10:19:35,Dorm,9.30,Salads,39,No,No
201,2025-09-23,13:57:18,Dorm,16.94,Mexican,26,No,Yes
202,2025-09-23,19:32:14,Off-Campus,20.42,Pizza,33,No,Yes
203,2025-09-23,19:44:58,Off-Campus,21.34,Pizza,30,Yes,Yes
204,2025-09-23,19:51:05,Dorm,14.74,Mexican,27,No,No
205,2025-09-23,20:48:34,Grad Student,31.20,Salads,18,No,No
206,2025-09-24,10:30:58,Off-Campus,18.32,Burgers,40,No,No
207,2025-09-24,14:02:22,Off-Campus,9.22,Pizza,26,No,No
208,2025-09-24,22:35:31,Grad Student,33.16,Mediterranean,32,No,No
209,2025-09-25,12:07:03,Grad Student,27.73,Mediterranean,40,Yes,No
210,2025-09-25,13:54:40,Grad Student,37.46,Mexican,22,Yes,No
211,2025-09-27,17:11:17,Greek Life,42.98,Burgers,24,Yes,No
212,2025-09-27,18:20:41,Off-Campus,23.00,Mexican,34,Yes,No
213,2025-09-27,19:56:09,Off-Campus,24.04,Asian,29,Yes,No
214,2025-09-27,20:11:59,Greek Life,45.85,Burgers,16,Yes,Yes
215,2025-09-28,11:48:10,Greek Life,42.28,Pizza,45,No,No
216,2025-09-30,10:18:29,Off-Campus,24.25,Asian,29,No,No
217,2025-09-30,15:18:07,Grad Student,19.15,Indian,26,No,Yes
218,2025-09-30,19:08:06,Grad Student,20.04,Asian,24,No,No
219,2025-09-30,20:52:34,Dorm,13.79,Mexican,30,Yes,No
220,2025-09-30,22:30:41,Grad Student,32.63,Asian,47,No,No
221,2025-10-01,17:16:13,Off-Campus,19.71,Salads,31,No,No
222,2025-10-02,14:01:54,Dorm,13.80,Salads,33,No,No
223,2025-10-03,18:46:40,Grad Student,17.31,Mexican,30,Yes,Yes
224,2025-10-03,22:49:54,Greek Life,44.10,Asian,33,No,Yes
225,2025-10-04,11:44:00,Off-Campus,24.37,Mexican,45,No,No
226,2025-10-04,16:11:23,Dorm,12.71,Burgers,37,No,No
227,2025-10-05,11:35:51,Grad Student,36.86,Asian,24,No,Yes
228,2025-10-05,12:28:35,Dorm,10.66,Pizza,28,No,Yes
229,2025-10-05,15:46:56,Dorm,22.12,Burgers,40,No,No
230,2025-10-06,18:08:17,Grad Student,24.42,Pizza,38,No,Yes
231,2025-10-06,20:39:03,Dorm,22.36,Asian,17,Yes,Yes
232,2025-10-07,16:22:34,Dorm,13.91,Burgers,39,No,Yes
233,2025-10-07,18:37:14,Dorm,10.15,Pizza,29,No,Yes
234,2025-10-07,20:59:04,Dorm,13.23,Asian,39,No,No
235,2025-10-08,12:53:15,Greek Life,47.30,Mexican,20,No,Yes
236,2025-10-08,13:37:44,Off-Campus,13.35,Mexican,39,Yes,Yes
237,2025-10-09,11:43:59,Grad Student,25.34,Mediterranean,39,Yes,No
238,2025-10-09,12:10:49,Dorm,7.85,Mediterranean,33,No,Yes
239,2025-10-09,16:23:07,Off-Campus,7.23,Pizza,30,No,No
240,2025-10-11,20:49:20,Greek Life,55.42,Breakfast,31,No,Yes
241,2025-10-11,21:18:26,Off-Campus,16.40,Indian,32,No,No
242,2025-10-11,22:20:26,Off-Campus,27.58,Mediterranean,34,Yes,No
243,2025-10-12,10:20:50,Off-Campus,20.57,Pizza,34,No,No
244,2025-10-12,20:50:13,Off-Campus,13.41,Pizza,29,No,No
245,2025-10-13,12:23:07,Dorm,17.73,Breakfast,28,Yes,No
246,2025-10-13,12:29:36,Dorm,15.30,Burgers,41,No,Yes
247,2025-10-13,14:50:44,Grad Student,25.67,Breakfast,22,Yes,Yes
248,2025-10-13,18:22:01,Grad Student,21.18,Indian,31,Yes,No
249,2025-10-14,13:42:24,Greek Life,60.30,Salads,35,No,Yes
250,2025-10-14,20:05:40,Grad Student,17.57,Asian,28,No,No
251,2025-10-15,11:25:32,Grad Student,26.99,Indian,19,No,No
252,2025-10-17,22:34:02,Grad Student,28.67,Indian,24,No,No
253,2025-10-18,13:27:29,Grad Student,27.81,Burgers,37,No,Yes
254,2025-10-19,17:14:47,Dorm,13.65,Indian,30,Yes,No
255,2025-10-19,18:31:40,Off-Campus,7.09,Indian,26,Yes,Yes
256,2025-10-19,20:29:32,Dorm,11.62,Asian,36,No,Yes
257,2025-10-20,18:20:07,Dorm,15.16,Burgers,33,Yes,Yes
258,2025-10-20,20:37:07,Off-Campus,12.42,Mexican,41,No,No
259,2025-10-20,22:37:27,Dorm,9.62,Pizza,37,No,No
260,2025-10-21,11:31:24,Grad Student,33.26,Mediterranean,35,No,No
261,2025-10-21,13:09:00,Dorm,15.97,Pizza,38,No,No
262,2025-10-21,14:25:24,Greek Life,36.22,Mediterranean,36,No,Yes
263,2025-10-21,15:39:43,Off-Campus,14.73,Indian,32,Yes,Yes
264,2025-10-21,15:55:02,Off-Campus,13.60,Salads,32,No,No
265,2025-10-21,16:54:06,Greek Life,67.24,Burgers,20,No,No
266,2025-10-21,19:42:09,Grad Student,24.32,Pizza,18,No,No
267,2025-10-21,20:26:45,Grad Student,31.34,Pizza,23,Yes,No
268,2025-10-22,17:34:35,Greek Life,44.13,Mediterranean,31,No,Yes
269,2025-10-22,21:03:25,Dorm,9.90,Mediterranean,22,No,Yes
270,2025-10-23,11:14:24,Greek Life,64.40,Pizza,37,No,Yes
271,2025-10-23,12:11:25,Off-Campus,22.07,Mediterranean,29,No,No
272,2025-10-23,14:47:24,Dorm,14.13,Pizza,33,No,Yes
273,2025-10-23,18:06:58,Grad Student,30.27,Burgers,32,No,No
274,2025-10-24,18:12:21,Grad Student,28.14,Asian,39,No,No
275,2025-10-24,18:28:51,Dorm,13.22,Salads,40,No,Yes
276,2025-10-24,20:23:37,Off-Campus,35.21,Salads,26,No,No
277,2025-10-25,10:01:54,Off-Campus,23.85,Burgers,18,No,Yes
278,2025-10-25,13:22:10,Dorm,14.18,Breakfast,28,No,Yes
279,2025-10-25,16:41:47,Dorm,12.27,Salads,30,Yes,No
280,2025-10-25,19:34:52,Dorm,15.32,Burgers,18,Yes,Yes
281,2025-10-26,12:25:37,Dorm,9.33,Mexican,20,Yes,No
282,2025-10-27,14:41:43,Grad Student,32.37,Pizza,37,No,Yes
283,2025-10-27,19:28:21,Grad Student,15.18,Mediterranean,36,No,Yes
284,2025-10-28,11:05:59,Off-Campus,12.96,Mexican,33,No,No
285,2025-10-28,16:05:46,Grad Student,36.78,Mediterranean,28,No,No
286,2025-10-28,17:08:48,Dorm,17.24,Breakfast,15,No,Yes
287,2025-10-29,17:02:06,Off-Campus,11.32,Pizza,21,No,Yes
288,2025-10-30,20:55:53,Greek Life,35.60,Mediterranean,27,No,No
289,2025-10-30,21:33:02,Grad Student,28.46,Salads,28,Yes,Yes
290,2025-10-31,14:00:06,Off-Campus,17.67,Mexican,38,No,No
291,2025-10-31,18:31:17,Grad Student,24.47,Mexican,35,Yes,No
292,2025-10-31,18:56:41,Grad Student,22.43,Indian,44,Yes,Yes
293,2025-11-02,12:13:48,Dorm,15.87,Pizza,21,No,No
294,2025-11-02,12:58:51,Greek Life,54.30,Mexican,29,No,Yes
295,2025-11-02,18:21:46,Grad Student,24.57,Mediterranean,20,No,No
296,2025-11-03,20:37:06,Grad Student,23.80,Breakfast,35,No,Yes
297,2025-11-04,10:28:11,Off-Campus,20.87,Burgers,29,Yes,Yes
298,2025-11-04,18:23:31,Off-Campus,15.40,Indian,28,No,Yes
299,2025-11-05,11:37:32,Off-Campus,20.33,Mexican,36,Yes,No
300,2025-11-05,12:00:21,Grad Student,10.88,Pizza,33,No,No
301,2025-11-05,12:01:14,Off-Campus,11.13,Mediterranean,27,Yes,Yes
302,2025-11-05,12:07:02,Grad Student,29.11,Indian,29,No,No
303,2025-11-05,17:32:46,Off-Campus,14.99,Salads,26,No,No
304,2025-11-05,20:04:37,Dorm,10.62,Breakfast,27,Yes,Yes
305,2025-11-05,20:22:48,Greek Life,57.01,Breakfast,46,No,Yes
306,2025-11-06,10:57:21,Off-Campus,16.00,Burgers,26,No,Yes
307,2025-11-06,13:32:25,Grad Student,36.00,Indian,40,Yes,Yes
308,2025-11-06,15:52:45,Dorm,14.58,Indian,28,No,Yes
309,2025-11-06,17:03:14,Grad Student,25.87,Mexican,29,No,No
310,2025-11-06,17:14:16,Dorm,6.63,Mexican,19,No,Yes
311,2025-11-06,19:26:07,Dorm,5.00,Pizza,26,No,Yes
312,2025-11-06,20:39:17,Off-Campus,19.60,Salads,28,Yes,Yes
313,2025-11-07,11:43:04,Off-Campus,19.19,Mexican,34,No,Yes
314,2025-11-07,12:13:29,Off-Campus,19.47,Burgers,26,No,Yes
315,2025-11-07,20:33:19,Grad Student,14.90,Burgers,37,No,Yes
316,2025-11-08,11:51:50,Off-Campus,18.50,Salads,31,No,Yes
317,2025-11-08,13:05:58,Grad Student,34.03,Mexican,36,No,No
318,2025-11-08,17:24:50,Off-Campus,16.70,Salads,22,No,No
319,2025-11-08,19:10:40,Off-Campus,19.62,Mediterranean,28,No,No
320,2025-11-08,19:41:26,Dorm,6.03,Breakfast,29,No,No
321,2025-11-08,20:22:59,Off-Campus,23.14,Pizza,19,No,No
322,2025-11-09,11:57:54,Dorm,8.06,Burgers,29,No,Yes
323,2025-11-09,12:38:14,Dorm,23.07,Burgers,32,No,No
324,2025-11-09,13:04:22,Grad Student,26.86,Pizza,33,No,No
325,2025-11-09,14:18:43,Dorm,14.97,Mexican,43,Yes,No
326,2025-11-09,16:54:30,Greek Life,51.35,Salads,20,Yes,No
327,2025-11-10,11:03:25,Dorm,7.25,Pizza,24,No,Yes
328,2025-11-10,15:08:11,Dorm,13.55,Breakfast,13,No,No
329,2025-11-10,16:56:35,Grad Student,28.33,Burgers,33,Yes,No
330,2025-11-10,18:08:26,Greek Life,25.99,Mexican,21,No,No
331,2025-11-11,17:47:30,Greek Life,68.49,Pizza,23,No,Yes
332,2025-11-11,19:03:01,Off-Campus,22.68,Pizza,39,Yes,No
333,2025-11-11,22:58:55,Grad Student,37.84,Mediterranean,31,No,Yes
334,2025-11-12,12:29:54,Greek Life,48.94,Mediterranean,32,No,No
335,2025-11-12,17:37:37,Greek Life,44.78,Pizza,43,Yes,No
336,2025-11-12,17:43:19,Dorm,14.12,Pizza,51,No,No
337,2025-11-12,20:09:53,Dorm,19.39,Mexican,17,Yes,No
338,2025-11-13,14:29:28,Off-Campus,19.73,Indian,23,No,Yes
339,2025-11-13,16:19:06,Off-Campus,21.97,Asian,49,No,No
340,2025-11-13,18:22:13,Grad Student,31.71,Mexican,27,Yes,No
341,2025-11-13,19:05:41,Dorm,12.23,Indian,29,No,Yes
342,2025-11-13,20:02:11,Grad Student,26.38,Mediterranean,34,No,Yes
343,2025-11-14,15:59:32,Grad Student,29.98,Mediterranean,15,Yes,No
344,2025-11-14,20:27:30,Dorm,14.07,Pizza,31,No,Yes
345,2025-11-15,11:18:01,Dorm,10.36,Pizza,46,Yes,Yes
346,2025-11-15,12:36:03,Dorm,19.04,Pizza,39,No,No
347,2025-11-16,12:57:54,Greek Life,42.85,Breakfast,22,No,No
348,2025-11-16,18:44:43,Grad Student,22.95,Mediterranean,26,No,Yes
349,2025-11-16,18:45:35,Off-Campus,14.01,Salads,15,Yes,No
350,2025-11-16,21:04:48,Grad Student,21.81,Breakfast,30,Yes,Yes
351,2025-11-16,21:55:14,Dorm,23.08,Burgers,44,No,Yes
352,2025-11-17,17:02:57,Dorm,16.27,Mexican,33,No,Yes
353,2025-11-17,20:21:23,Dorm,18.78,Indian,19,No,No
354,2025-11-18,10:05:21,Off-Campus,12.27,Asian,25,Yes,No
355,2025-11-18,17:42:06,Dorm,14.49,Mexican,29,No,Yes
356,2025-11-19,10:10:06,Grad Student,27.07,Mexican,35,No,No
357,2025-11-19,17:52:02,Grad Student,25.27,Mediterranean,36,No,Yes
358,2025-11-19,17:59:06,Dorm,13.08,Burgers,29,No,Yes
359,2025-11-21,10:11:32,Greek Life,29.52,Mediterranean,27,No,No
360,2025-11-21,12:13:58,Grad Student,32.16,Salads,20,No,No
361,2025-11-21,12:26:02,Grad Student,26.88,Pizza,30,No,No
362,2025-11-21,12:56:35,Off-Campus,15.88,Asian,30,No,No
363,2025-11-21,19:31:50,Off-Campus,13.77,Salads,27,No,Yes
364,2025-11-22,18:53:38,Dorm,14.51,Breakfast,45,Yes,Yes
365,2025-11-22,19:32:56,Dorm,5.61,Breakfast,43,No,Yes
366,2025-11-22,19:56:54,Grad Student,26.01,Pizza,31,No,Yes
367,2025-11-22,20:12:06,Dorm,17.72,Burgers,31,Yes,No
368,2025-11-22,20:29:42,Off-Campus,12.99,Breakfast,26,Yes,No
369,2025-11-23,20:07:06,Off-Campus,18.21,Burgers,25,No,No
370,2025-11-24,10:40:13,Dorm,16.91,Burgers,39,No,No
371,2025-11-24,12:41:14,Dorm,5.00,Burgers,35,Yes,No
